Continent/Region,Country/RPPP,Status,Year
Africa,South Africa,list A1,2001
Asia,Bahrain,list A1,2003
Asia,Israel,Quarantine pest,2009
Europe,Turkey,list A2,2000
RPPO/EU,APPPC,list A1,1988
RPPO/EU,EPPO,list A1,1994
RPPO/EU,EU,Annex I/A1,1992
