Kontynent/Region,Kraj/RPPP,Status,Rok
Afryka,Afryka Wschodnia,lista A1,2001
Afryka,Afryka Południowa,lista A1,2001
Azja,Bahrain,lista A1,2003
Azja,Izrael,Szkodnik kwarantannowy,2009
Europa,Turcja,lista A1,2007
RPPO/EU,APPPC,lista A1,1988
RPPO/EU,EPPO,lista A1,1994
RPPO/EU,EU,Aneks I/A1,1992
RPPO/EU,PPPO,lista A1,1993
